,k_a,k_o1,k_o2,m_so,k_c,c_pa,C_z,COP
2014-11-27,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-28,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-29,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-30,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-01,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-02,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-03,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-04,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-05,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-06,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-07,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-08,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-09,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-10,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-11,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-12,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-13,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-14,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-15,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-16,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-17,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-18,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-19,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-20,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-21,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-22,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-23,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-24,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-25,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-26,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-27,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-28,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-29,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-30,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-12-31,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
